,id,applicants,dcp-borough,dcp-femafloodzonea,dcp-projectname,dcp-projectbrief,dcp-ceqrnumber,dcp-publicstatus,dcp-noticeddate,bbls,ulurpnumbers,polygon
10,2019X0192,HPD - NYC Dept of Housing Preservation & Development,Bronx,False,Morris Heights NCP,"This is an application by HPD requesting UDAAP Designation, Project Approval & Disposition of City-owned property for 1647 Popham Avenue and a UDAAP designation, project approval for 30 West 182nd Street.  Both sites are located in Bronx Community District 5.  These actions would facilitate a total of 28 du's and a total of approximately 25,080 square feet of residential floor area for both sites.",20HPD048X,In Public Review,2022-04-08T00:00:30.000Z,"['2028770278', '2031950021']",['220381HAX'],"[[-73.921257, 40.849357], [-73.920933, 40.849209], [-73.921028, 40.849094], [-73.921351, 40.849242], [-73.921283, 40.849324], [-73.921257, 40.849357]]"
11,2021X0367,HPD - NYC Dept of Housing Preservation & Development,Bronx,False,2017 Grand Concourse,"An application by HPD for UDAAP, acquisition of real property and disposition of real property to facilitate a new 9-story, ~3,600 sq ft residential building development, including 34 units, is being sought by HPD at 2017 Grand Concourse in Mount Hope, Community District 5, The Bronx.",21HPD049X,In Public Review,2021-10-15T00:00:54.000Z,['2028080090'],"['220356HAX', '220357PQX']","[[-73.904432, 40.851874], [-73.904506, 40.851783], [-73.904852, 40.851854], [-73.904817, 40.851956], [-73.904432, 40.851874]]"
12,2020X0421,1959 Strang Ave LLC,Bronx,False,1959 Strang Avenue,"A Zoning Map Amendment from R4 to R4/C2-3 to facilitate one new commercial building of 2,750 sq. ft. is being sought by 1959 Strang Ave LLC at 1959 Strang Avenue in the Edenwald neighborhood, Community District 12, the Bronx.",22DCP069X,In Public Review,2021-12-02T00:00:57.000Z,['2049810094'],['C220171ZMX'],"[[-73.84316, 40.890128], [-73.843181, 40.890183], [-73.843207, 40.89025], [-73.843233, 40.890318], [-73.843262, 40.890394], [-73.843175, 40.890414], [-73.842905, 40.890472], [-73.842803, 40.890206], [-73.84316, 40.890128]]"
13,2019X0184,Leon Hovsepian,Bronx,False,1810 Randall Avenue Rezoning,This is a private application by Second Pentecostal Church of God La Hermosa & Vertical Community Development  Group LLC requesting a zoning map amendment from R4A/C1-2  and R5/C1-2 to R6/C1-2 to facilitate the construction of an 8-story residential mixed use building with 167 dwelling units and a house of worship in CD 9. Also a zoning text amendment to Appendix F of the Z.R. to designate the rezoning area as an MIH area.,22DCP037X,In Public Review,2021-12-02T00:00:11.000Z,"['2035220047', '2035220045', '2035220038']","['C220203ZMX', 'N220204ZRX']","[[-73.862351, 40.816701], [-73.862709, 40.816655], [-73.862772, 40.816928], [-73.862415, 40.816974], [-73.862233, 40.816997], [-73.862057, 40.81702], [-73.861992, 40.816747], [-73.862169, 40.816724], [-73.862351, 40.816701]]"
14,P2018X0270,H.O.G.A.R. Inc.,Bronx,False,893 Eagle Avenue Rezoning,"This is a requesting a zoning map amendment from R6 to R7-2, a zoning text amendment to map an MIH area, and zoning special permit under 74-903 for the modification of FAR and bulk restrictions that would apply to the applicant’s proposed long-term care facility. The requested actions would facilitate the development of a building totaling approximately 55,324 sf comprised of 83 supportive housing units, counseling offices, and multipurpose rooms for residents.",20DCP076X,Noticed,2022-04-08T00:00:15.000Z,"['2026200056', '2026200049', '2026200052', '2026200048', '2026200047', '2026200050']","['N220393LDX', '220334ZMX', 'N220335ZRX', '220336ZSX']","[[-73.908402, 40.822429], [-73.908422, 40.82238], [-73.908444, 40.822328], [-73.908474, 40.822258], [-73.908819, 40.82234], [-73.908915, 40.822363], [-73.908801, 40.822632], [-73.908795, 40.822631], [-73.908705, 40.822609], [-73.90836, 40.822527], [-73.908381, 40.822478], [-73.908402, 40.822429]]"
15,P2018X0337,Benjamin Atkins,Bronx,True,439 Devoe Avenue,"This is a private application by Devoe ASP, LLC requesting a Zoning Map Amendment and an MIH Zoning Text Amendment to facilitate construction of a 13 story residential/community facility building containing 84 affordable dwelling units, of which 26 would be permanently affordable, and approximately 5,379 square feet of community facility space at 439 Devoe Avenue in West Farms, CB6, Bronx, New York",22DCP079X,Noticed,2022-04-08T00:00:28.000Z,"['2040030001', '2040030010', '2040030016']","['220289ZMX', 'N220290ZRX']","[[-73.876574, 40.841456], [-73.87696, 40.84084], [-73.877515, 40.841041], [-73.877128, 40.841657], [-73.876978, 40.841896], [-73.876971, 40.841925], [-73.876965, 40.84193], [-73.876957, 40.841935], [-73.87695, 40.841939], [-73.876936, 40.841942], [-73.876928, 40.841944], [-73.876812, 40.84217], [-73.87624, 40.841988], [-73.876411, 40.841715], [-73.876574, 40.841456]]"
16,2019X0240,Boston Road Assoc,Bronx,False,2560 Boston Road Rezoning,"A zoning map amendment from C8-1 & R6 districts to an R7-2 district with a C2-4 overlay and a zoning text amendment to designate a MIH designated area (ZR Appendix F) to facilitate a new nine-story, 278,992 sf mixed-use development, including 333 affordable dwelling units, 15,000 sq. ft. supermarket, and 6,752 sq. ft. of community facility space, is being sought by Boston Road Associates, LLC at 2560 Boston Rd in the Allerton neighborhood, CD 11, Bronx.",22DCP184X,Noticed,2022-06-10T00:00:19.000Z,"['2044400016', '2044400030', '2044400032']","['220283ZMX', 'N220284ZRX']","[[-73.863089, 40.864203], [-73.863093, 40.864066], [-73.863098, 40.863929], [-73.863462, 40.863934], [-73.863443, 40.864547], [-73.863031, 40.864853], [-73.862901, 40.864949], [-73.862691, 40.865105], [-73.862698, 40.86488], [-73.862703, 40.864745], [-73.86272, 40.864198], [-73.863089, 40.864203]]"
17,2019X0305,Throggs Neck Associates LLC,Bronx,False,Bruckner Sites Rezoning,"This is a private application by Throggs Neck Associates LLC for zoning map and zoning text amendments in the Schuylerville neighborhood of Bronx Community District 10.  The proposed applicant-controlled developments would include the development of, in total, approximately 324,082 gsf of floor area, including 269,975 gsf of residential floor area and up to 384 dwelling units. The  proposed actions would also facilitate new mixed-used developments on two non-applicant controlled sites. 
 ",22DCP015X,In Public Review,2021-08-20T00:00:15.000Z,"['2053060028', '2053060030', '2053090011', '2053090007', '2053120021', '2053090054', '2053120010', '2053070075', '2053070063', '2053070061', '2053060023', '2053060019', '2053090047', '2053090050', '2053060018', '2053090035', '2053090036', '2053060231', '2053060031', '2053090060', '2053090001', '2053120019', '2053070076', '2053070073', '2053070067', '2053070066', '2053070064', '2053070055', '2053070058', '2053060022', '2053060008', '2053090044', '2053090041', '2053120001', '2053090042']","['C220007ZMX', 'N220008ZRX']","[[-73.833433, 40.830434], [-73.833601, 40.830393], [-73.833714, 40.830655], [-73.833625, 40.830676], [-73.833546, 40.830695], [-73.833461, 40.830716], [-73.833368, 40.830738], [-73.833286, 40.830758], [-73.833197, 40.830779], [-73.833112, 40.830799], [-73.833025, 40.83082], [-73.832936, 40.830841], [-73.832853, 40.830861], [-73.832763, 40.830883], [-73.832682, 40.830902], [-73.83259, 40.830924], [-73.832508, 40.830944], [-73.832417, 40.830966], [-73.832332, 40.830986], [-73.832301, 40.830993], [-73.832328, 40.830977], [-73.83248, 40.83088], [-73.832609, 40.830798], [-73.83263, 40.830783], [-73.8327, 40.830738], [-73.832778, 40.830689], [-73.832852, 40.830646], [-73.83296, 40.830585], [-73.833016, 40.830558], [-73.83306, 40.830539], [-73.833086, 40.83053], [-73.833097, 40.830525], [-73.833108, 40.830521], [-73.833118, 40.830517], [-73.833127, 40.830514], [-73.833136, 40.830511], [-73.833144, 40.830509], [-73.833155, 40.830505], [-73.833167, 40.830501], [-73.833175, 40.830499], [-73.833183, 40.830496], [-73.833189, 40.830495], [-73.833196, 40.830492], [-73.833206, 40.83049], [-73.833215, 40.830487], [-73.833224, 40.830484], [-73.833236, 40.830481], [-73.833244, 40.830479], [-73.833254, 40.830477], [-73.833255, 40.830476], [-73.833348, 40.830454], [-73.833433, 40.830434]]"
18,2019X0246,HPD - NYC Dept of Housing Preservation & Development,Bronx,False,Morrisania Open Door ,"This is an application by HPD requesting Disposition of City-owned property, UDAAP Designation, & Project Approval to facilitate the construction of a six-story 23 unit cooperative building at 1312-1314 Chisholm Street containing approximately 20,626 square feet of residential area in Bronx Community District 3.",20HPD048X,In Public Review,2022-04-08T00:00:17.000Z,"['2029720015', '2029720016']",['220380HAX'],"[[-73.895232, 40.831072], [-73.895228, 40.831052], [-73.895604, 40.831013], [-73.895614, 40.831067], [-73.895632, 40.831171], [-73.895257, 40.83121], [-73.895248, 40.831162], [-73.89524, 40.831117], [-73.895238, 40.831106], [-73.895232, 40.831072]]"
19,2019X0252,Markland 4551 LLC,Bronx,False,4541 Furman Avenue Rezoning,"A zoning map amendment from M1-1 to R7D and R7D/C2-4, a zoning text amendment to Appendix F for affordable housing, and a zoning text amendment to Appendix I to expand the transit zone to facilitate a new mixed-use 150-unit building with commercial and community facility uses is being sought by Markland 4551 LLC at 4541 Furman Ave in the Wakefield neighborhood in Community District 12, Bronx.",20DCP159X,In Public Review,2021-10-01T00:00:45.000Z,"['2050840140', '2050840049', '2050840053', '2050840040', '2050840041', '2050840019', '2050840030', '2050840060', '2050840059', '2050840061', '2050840058', '2050840138', '2050840056', '2050840057', '2050840055', '2050840054', '2050840035', '2050840039', '2050840063']","['C200228ZMX', 'N200229ZRX']","[[-73.85198, 40.900533], [-73.852278, 40.900614], [-73.85212, 40.900829], [-73.85195, 40.901082], [-73.851844, 40.901253], [-73.851787, 40.901345], [-73.851679, 40.901521], [-73.851641, 40.901584], [-73.851603, 40.901645], [-73.851452, 40.901896], [-73.851145, 40.901758], [-73.850821, 40.901612], [-73.850812, 40.901607], [-73.850867, 40.901536], [-73.850908, 40.901484], [-73.850956, 40.901423], [-73.851003, 40.901363], [-73.851052, 40.901301], [-73.851101, 40.901238], [-73.85115, 40.901176], [-73.851197, 40.901116], [-73.851242, 40.90106], [-73.851351, 40.90092], [-73.851712, 40.900461], [-73.85198, 40.900533]]"
20,2021X0277,EDC - Economic Development Corporation for NYC,Bronx,False,Lower Concourse North Special Permit Renewal ,"Renewal of Special Permit Section pursuant to ZR 11-43 located at Block 2356, Lots 2 & 72, Block 2539, Lot 1 & p/o Lot 2, and the bed of demapped East 150th Street), within the Special Harlem River Waterfront District, Borough of the Bronx, Community District 4. Special Permit approved was ZR 74-533 of the Zoning Resolution to allow a waiver of the required number of accessory off-street parking spaces for dwelling units in a development within a Transit Zone,",16DME012X,In Public Review,,"['2023560002', '2023560006', '2023560010']",['N220049CMX'],"[[-73.930877, 40.820485], [-73.930634, 40.819686], [-73.930638, 40.819585], [-73.932323, 40.819741], [-73.932318, 40.819807], [-73.932315, 40.819813], [-73.932268, 40.819914], [-73.932218, 40.819981], [-73.932177, 40.819993], [-73.932169, 40.819994], [-73.932293, 40.820425], [-73.932318, 40.820513], [-73.932265, 40.820521], [-73.932286, 40.820587], [-73.932296, 40.820624], [-73.932305, 40.820663], [-73.93231, 40.820693], [-73.932314, 40.820726], [-73.932319, 40.820809], [-73.932318, 40.820823], [-73.932319, 40.820851], [-73.932319, 40.820859], [-73.932322, 40.820869], [-73.932322, 40.820878], [-73.932325, 40.820884], [-73.932328, 40.820897], [-73.930877, 40.820485]]"
21,2022X0161,SBS - NYC Small Business Services,Bronx,False,Castle Hill BID,An application from the Small Business Services (SBS) on behalf of the proposed Castle Hill Business Improvement District (BID) to form the BID in Community Districts 9 and 10 of the Bronx.,21SBS005X,In Public Review,,"['2039640056', '2038190001', '2038100082', '2038110041', '2038110036', '2038200001', '2038200005', '2038200009', '2038120046', '2038120045', '2038120044', '2038120042', '2038120040', '2038210001', '2038210004', '2038210091', '2038210005', '2038210006', '2038210007', '2038130049', '2038130048', '2038130047', '2038130042', '2038220001', '2038220002', '2038220003', '2038220004', '2038220005', '2038220006', '2038220007', '2038220008', '2038220009', '2038220010', '2038140055', '2038140046', '2038140045', '2038140042', '2038140041', '2038140039', '2038140037', '2038140036', '2038140035', '2038140034', '2038140029', '2038140024', '2038140022', '2038140020', '2038140017', '2038140010', '2038230088', '2038230001', '2038230005', '2038230007', '2038230027', '2038230028', '2038230029', '2038230100', '2038230030', '2039340001', '2039640054', '2039640054', '2039640053', '2039630057', '2039630064', '2039630066', '2039630001', '2039630010', '2039630018', '2039660001', '2039660002', '2039660003', '2039660004', '2039660005', '2039660008', '2039670001', '2039670003', '2039670005', '2039480047', '2039480045', '2039480044', '2039480043', '2039480042', '2039480040', '2039350010', '2039350009', '2039350008', '2039350001', '2039350075', '2039350074', '2039350073', '2039350070', '2039350064', '2039350058', '2039350056', '2039350053', '2038230001', '2038190001']",['N220101BDX'],"[[-73.851319, 40.831074], [-73.851017, 40.831114], [-73.850917, 40.830691], [-73.851253, 40.830793], [-73.851319, 40.831074]]"
22,P2018X0310,FDNY - Fire Department of NYC,Bronx,False,EMS Station 17 New Facility,"This is a public application by FDNY requesting a site selection and a special permit for a new EMS facility at 1257 Morris Avenue (Block 2450, Lot 42 (15,000 s.f.) in Bronx CD 4.",20FDO001X,In Public Review,2021-08-20T00:00:27.000Z,['2024500042'],"['210293PSX', '210294ZSX']","[[-73.913469, 40.834553], [-73.913689, 40.834181], [-73.914043, 40.8343], [-73.914025, 40.834331], [-73.913995, 40.834381], [-73.913963, 40.834435], [-73.913921, 40.834507], [-73.913878, 40.834579], [-73.913851, 40.834625], [-73.913823, 40.834672], [-73.913469, 40.834553]]"
23,2020X0356,Sean Daneshvar,Bronx,False,660-668 East Fordham Road,"The Applicant is seeking a Commission Chair Certification (FRESH food store,) pursuant to ZR 63-30, and a special permit, pursuant to ZR 74-533, waiving required parking for affordable housing.  These actions would facilitate development of a mixed use residential/commercial building at 660 - 668 East Fordham Road in Community District 6, Bronx.",22DCP042X,In Public Review,2021-06-11T00:00:00.000Z,"['2030910020', '2030910024', '2030910026', '2030910027', '2030910022']","['N220093LDX', 'C220091ZSX', 'N220092ZCX']","[[-73.882885, 40.857617], [-73.883113, 40.857347], [-73.883196, 40.857387], [-73.88326, 40.857311], [-73.88334, 40.857349], [-73.883494, 40.857424], [-73.883445, 40.857483], [-73.883511, 40.857515], [-73.883608, 40.857537], [-73.883408, 40.857774], [-73.883404, 40.857779], [-73.883238, 40.857728], [-73.88324, 40.857725], [-73.883068, 40.857672], [-73.883065, 40.857676], [-73.882975, 40.857648], [-73.882883, 40.85762], [-73.882885, 40.857617]]"
24,2021X0379,DDC - NYC Department of Design and Construction,Bronx,False,Pratt Ave Retaining Wall & Roadway Reconstruction,"An acquisition of real property to facilitate replacement of an existing retaining wall along the eastern side of Pratt Avenue along with the reconstruction of Pratt Avenue from Needham Avenue to its dead end, is being sought by the New York City Department of Design and Construction and the Department of Citywide Administrative Services in the Baychester neighborhood of Bronx Community District 12.",22DOT013X,Noticed,2022-05-27T00:00:33.000Z,"['2049220012', '2049220015', '2049220017', '2049220101']",[None],"[[-73.836082, 40.884219], [-73.835953, 40.884163], [-73.835886, 40.884134], [-73.835828, 40.884109], [-73.835761, 40.88408], [-73.835702, 40.884054], [-73.835639, 40.884027], [-73.835557, 40.883991], [-73.835464, 40.883951], [-73.835396, 40.883922], [-73.835333, 40.883894], [-73.835273, 40.883868], [-73.835257, 40.883861], [-73.835087, 40.883788], [-73.835631, 40.883651], [-73.835798, 40.883725], [-73.835848, 40.883712], [-73.835868, 40.883755], [-73.836009, 40.883818], [-73.836202, 40.884238], [-73.836188, 40.884265], [-73.836278, 40.884304], [-73.836282, 40.884296], [-73.836306, 40.884296], [-73.836435, 40.884297], [-73.83656, 40.884265], [-73.836677, 40.884235], [-73.836706, 40.884298], [-73.836738, 40.884371], [-73.836758, 40.884415], [-73.83648, 40.884842], [-73.836411, 40.884813], [-73.836572, 40.884566], [-73.836413, 40.884493], [-73.83625, 40.884745], [-73.836107, 40.884684], [-73.836106, 40.884684], [-73.835913, 40.884602], [-73.836077, 40.884263], [-73.836089, 40.884234], [-73.836082, 40.884219]]"
25,P2013X0306,420 Morris Park Avenue LLC,Bronx,False,East 178th Street Demapping,"A private application by 420 Morris Park Avenue LLC for the elimination, discontinuance and closing of East 178th Street east of Morris Park Avenue in Community District 6, Borough of The Bronx, to facilitate the as-of-right development of the applicant’s property.   ",19DCP019X,In Public Review,2021-07-16T00:00:25.000Z,[],['C150355MMX'],
26,2021X0356,Throggs Neck Associates LLC,Bronx,False,Bruckner Sites Rezoning City Map Change,"A proposed City Map Amendment to demap a portion of Meyers street, currently located on private property (Block 5309, Lot 35), between East Tremont Ave. and Edison Ave. associated with the Bruckner Sites rezoning (C 220007 ZMX, et. al.), located in the Bronx, Community District 10.",,Noticed,2021-08-20T00:00:11.000Z,['2053090035'],['210301MMX'],"[[-73.827393, 40.834164], [-73.827724, 40.834002], [-73.827865, 40.834188], [-73.827534, 40.83435], [-73.827393, 40.834164]]"
27,2019K0441,41 Summit Street LLC,Brooklyn,False,41 Summit Street,A zoning map amendment from M1-1 to R6B to facilitate a new four unit residential building being sought by 41 Summit Street LLC at 41 Summit Street in the Columbia Street waterfront neighborhood of Brooklyn in Community District 6.,21DCP005K,In Public Review,2021-12-17T00:00:57.000Z,['3003520060'],['C200317ZMK'],"[[-74.005206, 40.683109], [-74.005152, 40.683094], [-74.00512, 40.683085], [-74.005249, 40.682817], [-74.005335, 40.682841], [-74.005206, 40.683109]]"
28,2019K0461,Michael Keller,Brooklyn,False,280 Bergen Street Rezoning,"A Zoning Map Amendment from M1-2 to R7A and R7D/C2-4 and a Zoning Text Amendment to Appendix F to designate an MIH area to facilitate four buildings approximately 238,420 sq ft, including 223,620 sq ft of residential use, 300 dwelling units (90 MIH units) , 9,600 sq ft of commercial use, and 10,000 sq ft of community facility use, is being sought by a private applicant BNW3 Re-Gen, LLC at 280 Bergen Street, in the Boerum Hill neighborhood, Community District 2, Brooklyn.",22DCP149K,In Public Review,2022-05-06T00:00:00.000Z,"['3003880042', '3003880034', '3003880051', '3003880009', '3003880052', '3003880001', '3003880036', '3003880031', '3003880037', '3003880041', '3003880038', '3003880011', '3003880008', '3003880012', '3003880058', '3003880035', '3003880019']","['C220188ZMK', 'N220189ZRK']","[[-73.982347, 40.683103], [-73.982375, 40.683061], [-73.982403, 40.68302], [-73.98243, 40.682979], [-73.982485, 40.682897], [-73.982736, 40.682995], [-73.982799, 40.683019], [-73.982865, 40.683045], [-73.982699, 40.683293], [-73.982765, 40.683318], [-73.982827, 40.683343], [-73.982891, 40.683368], [-73.982955, 40.683392], [-73.983022, 40.683419], [-73.983083, 40.683442], [-73.983149, 40.683468], [-73.983216, 40.683494], [-73.983382, 40.683246], [-73.983443, 40.68327], [-73.983635, 40.683345], [-73.98385, 40.683428], [-73.983932, 40.68346], [-73.984255, 40.683586], [-73.984053, 40.683884], [-73.983917, 40.684085], [-73.98385, 40.684059], [-73.983756, 40.684022], [-73.983674, 40.68399], [-73.983594, 40.683959], [-73.982311, 40.68346], [-73.98215, 40.683397], [-73.982319, 40.683145], [-73.982347, 40.683103]]"
29,2019K0301,2586 Nostrand LLC,Brooklyn,False,2586 Nostrand Avenue Rezoning,"This is a private application requesting a zoning map amendment (ZM) from R4/C2-2 to R7A/C2-4 and a zoning text amendment (ZR) to Appendix F of the zoning resolution to facilitate four eight-story mixed use developments at 2586 Nostrand Avenue in Midwood, Community District 14, Brooklyn.",21DCP017K,Noticed,2022-05-06T00:00:07.000Z,"['3076470046', '3076470047', '3076470048', '3076470049', '3076470050', '3076470051', '3076470054', '3076470060', '3076470066', '3076470073', '3076470075', '3076470077']","['210114ZMK', 'N210115ZRK']","[[-73.945736, 40.620023], [-73.946112, 40.619981], [-73.94613, 40.620076], [-73.946143, 40.620144], [-73.946146, 40.620158], [-73.946163, 40.620247], [-73.946164, 40.620253], [-73.946178, 40.620325], [-73.946185, 40.620361], [-73.946194, 40.620412], [-73.94621, 40.620495], [-73.946226, 40.62058], [-73.946241, 40.620659], [-73.946256, 40.620737], [-73.946267, 40.620796], [-73.946273, 40.620825], [-73.946288, 40.620905], [-73.946304, 40.62099], [-73.946319, 40.621067], [-73.946329, 40.621122], [-73.94634, 40.621176], [-73.946355, 40.621256], [-73.946371, 40.621339], [-73.946386, 40.621418], [-73.946392, 40.621448], [-73.946402, 40.621501], [-73.946417, 40.621584], [-73.946423, 40.621611], [-73.946433, 40.621664], [-73.946448, 40.621745], [-73.946462, 40.62182], [-73.946382, 40.621829], [-73.946313, 40.621836], [-73.946247, 40.621844], [-73.94618, 40.621851], [-73.946086, 40.621862], [-73.946046, 40.621653], [-73.946015, 40.62149], [-73.945953, 40.621164], [-73.945891, 40.620838], [-73.945808, 40.620403], [-73.945788, 40.620295], [-73.945767, 40.620186], [-73.945736, 40.620023]]"
30,2020K0358,Angelina  Gatto Trust,Brooklyn,False,Ninth Street Rezoning,"This is a private application by Angelina Gatto Trust for a proposed zoning map amendment from M2-1 to M1-4/R7A, a special permit pursuant to ZR 74-533 to waive required residential off-street parking, and a zoning text amendment to designate a Mandatory Inclusionary Housing (MIH) Area and Mixed Use (MX) district in order to facilitate a nine-story mixed-use development with 48 dwelling units and ground floor commercial space in the Gowanus neighborhood of Brooklyn, Community District 6.",22DCP091K,In Public Review,2022-03-11T00:00:03.000Z,"['3010020016', '3010020048', '3010020049', '3010020056', '3010020055', '3010020054', '3010020052', '3010020053', '3010020050', '3010020046', '3010020047', '3010020039', '3010020040', '3010020041', '3010020042', '3010020043', '3010020045']","['C210348ZMK', 'N210349ZRK', 'C210350ZSK']","[[-73.991185, 40.671964], [-73.991183, 40.671963], [-73.991327, 40.671789], [-73.99133, 40.67179], [-73.991381, 40.671729], [-73.991459, 40.671767], [-73.991533, 40.671802], [-73.991604, 40.671837], [-73.991688, 40.671877], [-73.99184, 40.671951], [-73.991915, 40.671987], [-73.991989, 40.672023], [-73.992045, 40.67205], [-73.992095, 40.672075], [-73.992142, 40.672097], [-73.992292, 40.67217], [-73.992369, 40.672207], [-73.992448, 40.672245], [-73.992524, 40.672282], [-73.992595, 40.672317], [-73.992679, 40.672357], [-73.992499, 40.67257], [-73.992481, 40.672592], [-73.9924, 40.672552], [-73.992328, 40.672518], [-73.992252, 40.672481], [-73.992173, 40.672443], [-73.992096, 40.672405], [-73.99202, 40.672368], [-73.991823, 40.672605], [-73.991749, 40.672569], [-73.991946, 40.672333], [-73.9919, 40.67231], [-73.991869, 40.672296], [-73.991849, 40.672286], [-73.991793, 40.672259], [-73.991719, 40.672223], [-73.991667, 40.672198], [-73.991644, 40.672186], [-73.991616, 40.672173], [-73.991567, 40.672149], [-73.991492, 40.672113], [-73.991409, 40.672072], [-73.991337, 40.672038], [-73.991264, 40.672002], [-73.991185, 40.671964]]"
31,2020K0228,The Jackson Group,Brooklyn,False,2080 McDonald Avenue,"A zoning map amendment to rezone from M1-1 and R5B to C4-4L and a zoning text amendment to map Appendix F to facilitate development of a 120,625 sf, eight-story, mixed-use building consisting of 97,889 square feet of residential space, comprised of 66 dwelling units, of which 16 (MIH program Option 1 or 25%) are proposed to be income-restricted, 18,783 square feet of commercial retail space and 3,953 square feet of community, in Gravesend neighborhood of Brooklyn, Community District 11.",21DCP132k,In Public Review,2022-02-25T00:00:38.000Z,"['3070870005', '3066800042', '3070870001', '3066800039']","['C210174ZMK', 'N210175ZRK']","[[-73.972768, 40.601448], [-73.972801, 40.601215], [-73.973383, 40.601163], [-73.973321, 40.601603], [-73.973129, 40.601624], [-73.972737, 40.601666], [-73.972768, 40.601448]]"
32,2022K0390,DCAS - NYC Department of Citywide Administrative Services,Brooklyn,False,BK CB 17 Office Space - 350 Clarkson Avenue,"Notice of Intent to acquire office space submitted by the Department of Citywide Administrative Services and Brooklyn Community Board 17, pursuant to Section 195 of the New York City Charter for use of property located at 350 Clarkson Avenue (Block 4837, p/o Lot 27) for Brooklyn Community Board 17 Offices, Community District 17, Borough of Brooklyn.",,In Public Review,,['3048370027'],['N 220298 PXK'],"[[-73.948959, 40.65486], [-73.949022, 40.654856], [-73.94908, 40.655403], [-73.948904, 40.655414], [-73.948728, 40.655425], [-73.948542, 40.655436], [-73.948188, 40.655457], [-73.94813, 40.65491], [-73.948217, 40.654904], [-73.948344, 40.654897], [-73.948484, 40.654888], [-73.94867, 40.654877], [-73.948763, 40.654871], [-73.948846, 40.654866], [-73.948959, 40.65486]]"
33,2021K0458,HPD - NYC Dept of Housing Preservation & Development,Brooklyn,False,Livonia4,"An Urban Renewal Plan Amendment, UDAAP and disposition, and zoning map and text amendments to facilitate four new 100%-affordable, 11- and 12-story mixed-use buildings, totaling 430,000 square feet, with approximately 498 dwelling units, 14,000 square feet of commercial space, and 47,000 square feet of community facility space, is being sought by NYC Department of Housing Preservation and Development at four sites along Livonia Avenue in Brownsville, Community District 16, Brooklyn.",20HPD045K,In Public Review,2022-04-22T00:00:16.000Z,"['3038110023', '3038110018', '3038110025', '3038120121', '3038120022', '3038120020', '3038120018', '3038120019', '3038120017', '3035860044', '3035860026', '3038110019', '3038110124', '3038110024', '3038110021', '3038110026', '3038110017', '3038110027', '3038110020', '3038120021', '3038120024', '3035860043', '3035860045', '3035860041', '3035860040', '3038130115']","['220427HAK', '220428HUK', '220429ZMK', 'N220430ZRK']","[[-73.911784, 40.661809], [-73.911769, 40.661751], [-73.912046, 40.661709], [-73.912134, 40.661696], [-73.912488, 40.661644], [-73.912558, 40.661916], [-73.912204, 40.661969], [-73.912116, 40.661982], [-73.911838, 40.662024], [-73.911826, 40.661973], [-73.912103, 40.661932], [-73.91209, 40.661881], [-73.911813, 40.661923], [-73.911798, 40.661866], [-73.911784, 40.661809]]"
34,2021K0279,False Alarm Ltd.,Brooklyn,False,29-41 Wythe Avenue IBIA Special Permit,"Zoning special permits (ZR 74-962 and 74-963) to designated a new Industrial Business Incentive Area, to to facilitate a new 7-story, 137,00 sf, commercial and manufacturing development, including approximately 23,000 sf light manufacturing, 57,000 sf incentive use, and 57,000 sf of AOR permitted uses, are being sought by private applicants False Alarm Ltd. and MAJ Associates at 29-41 Wythe Avenue in Greenpoint, Community District 1, Brooklyn.",21DCP200K,Noticed,2022-03-11T00:00:53.000Z,['3022790001'],['220276ZSK'],"[[-73.95573, 40.722963], [-73.955969, 40.722739], [-73.95597, 40.722739], [-73.956209, 40.722888], [-73.956445, 40.722668], [-73.956735, 40.722849], [-73.95626, 40.723292], [-73.95597, 40.723112], [-73.95573, 40.722963]]"
35,2019K0406,Yoel Horowitz,Brooklyn,False,446-448 Park Avenue Rezoning,"A zoning map amendment from an M1-1 district to an M1-4/R6A (MX-4) district and a zoning text amendment to create a new Mandatory Inclusionary Housing Area (ZR Appendix F) to facilitate a new six-story residential building, including 11 dwelling units, is being sought by private applicant 446-448 Park Realty Corp. at 446-448 Park Avenue in Bedford-Stuyvesant, Community District 3, Brooklyn.",21DCP094K,Noticed,2022-03-25T00:00:39.000Z,"['3018990027', '3018990028', '3018987501', '3018990029', '3018980037', '3018980038', '3018980035', '3018990030', '3018990026']","['210332ZMK', 'N210333ZRK']","[[-73.958766, 40.696209], [-73.958873, 40.696197], [-73.95892, 40.696422], [-73.958813, 40.696435], [-73.958735, 40.696444], [-73.958668, 40.696451], [-73.958513, 40.696469], [-73.958468, 40.696243], [-73.958621, 40.696226], [-73.958688, 40.696218], [-73.958766, 40.696209]]"
